Front_HalfShaft Trq [Nm]	Rear_HalfShaft_Trq [Nm]
0	0
1.111773571	1.111773571
632.5344607	632.5344607
1246.978561	1246.978561
1621.930792	1334.12204
1733.583092	1250.878723
1782.389291	1213.391897
1832.793078	1210.019738
1880.875367	1211.468306
1889.451698	1210.251638
1876.330414	1208.095235
1858.079026	1207.9447
1841.46873	1209.357548
1799.232353	1211.140243
1755.766286	1212.769064
1712.692842	1215.619529
1672.157426	1218.814219
1634.282511	1221.947998
1579.692417	1224.940242
1528.188955	1227.814297
1487.107221	1231.525672
1442.772548	1235.291029
1401.208832	1238.518844
1365.813179	1241.839128
1336.274578	1245.131399
1307.780737	1248.14887
1282.189326	1250.872923
1262.605672	1253.551064
1231.082935	1231.082935
1201.791964	1201.791964
1184.403472	1184.403472
1180.865111	1180.865111
1192.730553	1192.730553
1211.554089	1211.554089
1230.375689	1230.375689
1245.469742	1245.469742
1258.942908	1258.942908
1270.703233	1270.703233
1279.673969	1273.719097
1291.982379	1273.194639
1306.488681	1273.589537
1328.7202	1274.28499
1355.878944	1274.81736
1385.35838	1274.907761
1415.274485	1274.67737
1448.601233	1274.287869
1486.037509	1273.839466
1520.966419	1273.192054
1553.322015	1272.275026
1588.209959	1271.39686
1623.6708	1270.622649
1657.40621	1269.696297
1631.782505	1268.657751
1544.977527	1267.650284
1467.456139	1269.426933
1406.251139	1274.604913
1356.971845	1279.738733
1315.534917	1283.841544
1283.107216	1283.107216
1269.434863	1269.434863
1281.055831	1281.055831
1304.750966	1296.958989
1329.748264	1297.112027
1352.929651	1295.683836
1393.725027	1295.344754
1449.662628	1295.369112
1508.258248	1294.497122
1569.888187	1292.684996
1631.126792	1290.596039
1692.235407	1288.318384
1752.604865	1285.959181
1823.03163	1283.517099
1886.224752	1281.011128
1943.192415	1277.915692
1996.076973	1274.950579
2039.665304	1272.265529
2072.993194	1269.728147
2096.946664	1267.554522
2110.734862	1265.862311
2111.316675	1264.627899
2094.342241	1263.886997
2068.155017	1263.806619
2034.517811	1264.636635
